Plot no.,Species,Dbh,Status,Decay Class,Con Class (Fule),per ha conversion,Annual Growth to Subtract,25% Death Date,25% 1922 DBH (dib),25% 1922 DBH (dob),25% 1922 Size bin ,25% 1922 BA (m²),25% 1922 Density (ha-1),50% Death Date,50% 1922 DBH (dib),50% 1922 DBH (dob),50% 1922 Size bin,50% 1922 BA (m²),50% 1922 Density (ha-1),75% Death Date,75% 1922 DBH (dib),75% 1922 DBH (dob),75% 1922 Size bin,75% 1922 BA (m²),75% 1922 Density (ha-1)
127,PSME,18.4,3,6,7,25,0.190243902,1908,0.136585366,-0.111489268,0,0,0,1953,8.697560976,9.955361951,1,0.007784039,25,1980,13.83414634,15.99547268,1,0.020094863,25
130,PIST,13,4,6,8,25,0.136585366,1922,1.8,2.27416,sap,0.000406193,0,1963,7.4,8.57528,1,0.005775472,25,1985,10.40487805,11.95636878,1,0.011227666,25
130,PSME,6.5,2,1,3,25,0.190243902,2004,6.5,6.5,1,0.003318315,25,2004,6.5,6.5,1,0.003318315,25,2004,6.5,6.5,1,0.003318315,25
130,PSME,18.3,2,1,3,25,0.190243902,2004,18.3,18.3,2,0.026302261,25,2004,18.3,18.3,2,0.026302261,25,2004,18.3,18.3,2,0.026302261,25
130,QUGA,8.4,2,4,5,25,0.075609756,1986,7.03902439,7.03902439,1,0.003891489,25,1995,7.719512195,7.719512195,1,0.004680267,25,1998,7.946341463,7.946341463,1,0.004959357,25
131,PIST,17,2,6,7,25,0.136585366,1922,5.8,6.77496,1,0.003604993,25,1987,14.67804878,16.76454049,2,0.022073653,25,1995,15.77073171,17.99402732,2,0.025430075,25
131,PIST,24,4,5,6,25,0.136585366,1954,17.17073171,19.56930732,2,0.030077505,25,1976,20.17560976,22.9503961,2,0.041368642,25,1990,22.08780488,25.10199805,2,0.049488863,25
131,PIST,40,4,6,8,25,0.136585366,1922,28.8,32.65456,3,0.083748795,25,1963,34.4,38.95568,4,0.119187985,25,1985,37.40487805,42.33676878,4,0.140775252,25
131,PSME,5.8,2,2,3,25,0.190243902,2004,5.8,5.8,1,0.002642086,25,2004,5.8,5.8,1,0.002642086,25,2004,5.8,5.8,1,0.002642086,25
131,PSME,9.5,3,2,3,25,0.190243902,2004,9.5,9.5,1,0.007088235,25,2004,9.5,9.5,1,0.007088235,25,2004,9.5,9.5,1,0.007088235,25
131,QUGA,5.4,2,4,5,25,0.075609756,1986,4.03902439,4.03902439,sap,0.001281279,0,1995,4.719512195,4.719512195,sap,0.001749384,0,1998,4.946341463,4.946341463,sap,0.001921583,0
131,QUGA,5.9,2,4,5,25,0.075609756,1986,4.53902439,4.53902439,sap,0.001618139,0,1995,5.219512195,5.219512195,1,0.002139689,25,1998,5.446341463,5.446341463,1,0.002329703,25
131,QUGA,7.9,2,3,4,25,0.075609756,1996,7.295121951,7.295121951,1,0.004179805,25,2000,7.597560976,7.597560976,1,0.004533559,25,2002,7.748780488,7.748780488,1,0.004715824,25
132,PIPO,6.8,2,2,3,25,0.207317073,2004,6.8,6.8,1,0.00363169,25,2004,6.8,6.8,1,0.00363169,25,2004,6.8,6.8,1,0.00363169,25
132,PIPO,7,4,3,4,25,0.207317073,1996,5.341463415,5.341463415,1,0.002240843,25,2000,6.170731707,6.170731707,1,0.002990641,25,2002,6.585365854,6.585365854,1,0.003406048,25
132,PIPO,9.1,2,2,3,25,0.207317073,2004,9.1,9.1,1,0.006503897,25,2004,9.1,9.1,1,0.006503897,25,2004,9.1,9.1,1,0.006503897,25
132,PIPO,11.2,2,1,3,25,0.207317073,2004,11.2,11.2,1,0.009852058,25,2004,11.2,11.2,1,0.009852058,25,2004,11.2,11.2,1,0.009852058,25
132,PIPO,16.2,3,4,5,25,0.207317073,1986,12.46829268,12.46829268,1,0.012209697,25,1995,14.33414634,14.33414634,1,0.016137437,25,1998,14.95609756,14.95609756,1,0.017568208,25
132,PIPO,19.7,4,3,4,25,0.207317073,1996,18.04146341,18.04146341,2,0.02556433,25,2000,18.87073171,18.87073171,2,0.027968449,25,2002,19.28536585,19.28536585,2,0.029211016,25
132,PSME,5.3,2,1,3,25,0.190243902,2004,5.3,5.3,1,0.002206189,25,2004,5.3,5.3,1,0.002206189,25,2004,5.3,5.3,1,0.002206189,25
132,PSME,5.6,3,4,5,25,0.190243902,1986,2.175609756,2.175609756,sap,0.000371752,0,1995,3.887804878,3.887804878,sap,0.001187134,0,1998,4.458536585,4.458536585,sap,0.001561261,0
132,PSME,6.4,2,1,3,25,0.190243902,2004,6.4,6.4,1,0.003216998,25,2004,6.4,6.4,1,0.003216998,25,2004,6.4,6.4,1,0.003216998,25
132,PSME,6.8,2,1,3,25,0.190243902,2004,6.8,6.8,1,0.00363169,25,2004,6.8,6.8,1,0.00363169,25,2004,6.8,6.8,1,0.00363169,25
132,PSME,6.8,2,1,3,25,0.190243902,2004,6.8,6.8,1,0.00363169,25,2004,6.8,6.8,1,0.00363169,25,2004,6.8,6.8,1,0.00363169,25
132,PSME,7.5,2,1,3,25,0.190243902,2004,7.5,7.5,1,0.004417875,25,2004,7.5,7.5,1,0.004417875,25,2004,7.5,7.5,1,0.004417875,25
132,PSME,8.1,2,1,3,25,0.190243902,2004,8.1,8.1,1,0.005153009,25,2004,8.1,8.1,1,0.005153009,25,2004,8.1,8.1,1,0.005153009,25
132,PSME,9,2,1,3,25,0.190243902,2004,9,9,1,0.00636174,25,2004,9,9,1,0.00636174,25,2004,9,9,1,0.00636174,25
132,PSME,9.1,2,1,3,25,0.190243902,2004,9.1,9.1,1,0.006503897,25,2004,9.1,9.1,1,0.006503897,25,2004,9.1,9.1,1,0.006503897,25
132,PSME,9.4,2,1,3,25,0.190243902,2004,9.4,9.4,1,0.006939794,25,2004,9.4,9.4,1,0.006939794,25,2004,9.4,9.4,1,0.006939794,25
132,PSME,12.5,2,1,3,25,0.190243902,2004,12.5,12.5,1,0.012271875,25,2004,12.5,12.5,1,0.012271875,25,2004,12.5,12.5,1,0.012271875,25
132,PSME,13.3,2,1,3,25,0.190243902,2004,13.3,13.3,1,0.013892941,25,2004,13.3,13.3,1,0.013892941,25,2004,13.3,13.3,1,0.013892941,25
132,PSME,14.9,2,1,3,25,0.190243902,2004,14.9,14.9,1,0.017436665,25,2004,14.9,14.9,1,0.017436665,25,2004,14.9,14.9,1,0.017436665,25
132,PSME,15.1,2,1,3,25,0.190243902,2004,15.1,15.1,1,0.017907905,25,2004,15.1,15.1,1,0.017907905,25,2004,15.1,15.1,1,0.017907905,25
