Transect,Plot #,Tree #,treeline pos.,Core,Species,Age,Status,Ht.,Decay,CONCLASS,Az.,x,y,2013 DBH,Dist.,AZMTH,x0,y0,X.calc,y.calc,x.abs,y.abs,BA 2013 (m^2/ha),Estab. Year,25% Death Date,50% Death Date,75% Death Date, 25% alive 1900,25% alive 1910, 25% alive 1920, 25% alive 1930, 25% alive 1940, 25% alive 1950, 25% alive 1960, 25% alive 1970, 25% alive 1980, 25% alive 1990, 25% alive 2000, 25% alive 2010,25% alive 2013,50% alive 1900,50% alive 1910,50% alive 1920,50% alive 1930,50% alive 1940,50% alive 1950,50% alive 1960,50% alive 1970,50% alive 1980,50% alive 1990,50% alive 2000,50% alive 2010,50% alive 2013,75% alive 1900,75% alive 1910,75% alive 1920,75% alive 1930,75% alive 1940,75% alive 1950,75% alive 1960,75% alive 1970,75% alive 1980,75% alive 1990,75% alive 2000,75% alive 2010,75% alive 2013
1,7,29,A,No,ABBI,84,6,-,3,8,252,5.3,45.5,5,15.47,200,0,60,-5.291051617,45.46295516,5.291051617,45.46295516,0.0019635,1929,1962,1987,2002,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0
1,7,23,A,No,ABBI,86,2,-,4,4,-,5.8,47.1,6.3,14.14,204,0,60,-5.751256133,47.08246723,5.751256133,47.08246723,0.003117253,1927,2005,2009,2011,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0
1,5,3,A,No,ABBI,113,6,-,4,8,192,6.3,33.7,22,8.89,225,0,40,-6.286179285,33.71382072,6.286179285,33.71382072,0.03801336,1900,1962,1987,2002,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0
1,5,2,A,No,ABBI,97,6,-,5,8,250,4.9,34.0,12.5,7.74,219,0,40,-4.870939827,33.98489026,4.870939827,33.98489026,0.012271875,1916,1962,1987,2002,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0
1,5,1,A,No,ABBI,96,6,-,2,8,312,5.3,34.7,12,7.52,225,0,40,-5.317442995,34.68255701,5.317442995,34.68255701,0.01130976,1917,1962,1987,2002,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0
2,22,3,B,No,ABBI,110,6,-,5,8,158,7.5,280.4,20.4,7.88,72,0,278,7.494325348,280.4350539,7.494325348,280.4350539,0.032685206,1903,1962,1987,2002,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0
2,20,1,B,No,PIEN,177,6,-,-,8,-,1.2,259.0,60,1.63,50,0,258,1.248652442,259.0477438,1.248652442,259.0477438,0.282744,1836,1952,1983,2000,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0
2,17,3,A,No,ABBI,109,3,-,4,6,-,10.3,234.4,19.6,12.09,58,0,228,10.25290148,234.4067239,10.25290148,234.4067239,0.030171926,1904,1979,1996,2006,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0
2,17,5,A,no,ABBI,100,2,5,2,3,-,12.4,231.8,14.7,12.96,73,0,228,12.39370964,231.7891373,12.39370964,231.7891373,0.016971709,1913,2012,2012,2012,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0
2,15,5,A,No,ABBI,126,6,-,6,8,70,4.4,204.4,30,5.66,129,0,208,4.398646142,204.4380466,4.398646142,204.4380466,0.070686,1887,1962,1987,2002,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0
2,15,4,A,No,ABBI,116,6,-,3,8,141,3.2,203.8,23.8,5.32,143,0,208,3.201655923,203.7512591,3.201655923,203.7512591,0.044488198,1897,1962,1987,2002,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0
2,15,3,A,No,ABBI,127,2,4,3,3,-,2.8,205.2,30.5,3.96,134,0,208,2.848585609,205.2491529,2.848585609,205.2491529,0.073061835,1886,2012,2012,2012,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
2,15,6,A,No,ABBI,126,2,3,2,3,-,4.9,204.0,30.1,6.33,129,0,208,4.919333936,204.0164019,4.919333936,204.0164019,0.071158025,1887,2012,2012,2012,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
2,15,11,A,No,ABBI,98,6,-,3,8,182,3.3,202.1,13,6.71,151,0,208,3.253072552,202.1313018,3.253072552,202.1313018,0.01327326,1915,1962,1987,2002,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0
2,15,14,A,No,ABBI,94,6,-,5,8,75,4.9,205.8,11,5.35,114,0,208,4.887468198,205.823959,4.887468198,205.823959,0.00950334,1919,1962,1987,2002,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0
2,15,7,A,No,ABBI,103,2,5,2,3,-,4.6,202.9,16.3,6.91,138,0,208,4.62369249,202.8648693,4.62369249,202.8648693,0.020867293,1910,2012,2012,2012,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
2,15,8,A,No,ABBI,93,2,5,3,3,-,5.2,203.8,10.6,6.74,129,0,208,5.23796378,203.7583806,5.23796378,203.7583806,0.008824754,1920,2012,2012,2012,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0
2,14,8,A,No,ABBI,93,2,5,1,3,-,10.3,197.8,10.1,10.28,91,0,198,10.27843431,197.8205893,10.27843431,197.8205893,0.008011865,1920,2012,2012,2012,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0
2,13,2,A,No,ABBI,96,6,-,5,8,134,4.4,188.2,12,4.36,87,0,188,4.354024772,188.2281848,4.354024772,188.2281848,0.01130976,1917,1962,1987,2002,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0
2,11,5,A,No,PIEN,119,2,,5,4,-,12.1,166.9,25.9,12.16,95,0,168,12.11372753,166.9401862,12.11372753,166.9401862,0.052685417,1894,2005,2009,2011,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
2,10,3,A,No,ABBI,101,6,-,7,8,61,12.1,159.5,15,12.23,83,0,158,12.13883943,159.4904621,12.13883943,159.4904621,0.0176715,1912,1962,1987,2002,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0
2,10,5,A,No,PIEN,110,2,5,5,4,-,9.3,159.3,20.4,9.43,82,0,158,9.338227888,159.3124023,9.338227888,159.3124023,0.032685206,1903,2005,2009,2011,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0
2,8,4,A,No,ABBI,101,6,-,5,8,104,1.7,136.6,15,2.16,129,0,138,1.678635277,136.640668,1.678635277,136.640668,0.0176715,1912,1962,1987,2002,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0
3,9,21,B,No,PIEN,104,6,-,4,8,195,0.0,119.2,17.1,10.79,180,0,130,1.32194E-15,119.21,1.32194E-15,119.21,0.022965881,1909,1952,1983,2000,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0
3,9,15,B,No,PIEN,86,6,-,3,8,244,0.0,121.1,6.4,8.95,180,0,130,1.09651E-15,121.05,1.09651E-15,121.05,0.003216998,1927,1952,1983,2000,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0
3,5,6,B,No,PIEN,112,3,-,2,6,-,3.6,83.8,21.4,7.2,150,0,90,3.6,83.76461709,3.6,83.76461709,0.035968178,1901,1974,1993,2005,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0
3,5,11,B,No,PIEN,106,6,-,7,8,122,1.0,84.5,18,5.55,170,0,90,0.963747386,84.53431697,0.963747386,84.53431697,0.02544696,1907,1952,1983,2000,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0
3,5,18,B,No,PIEN,87,6,-,4,8,246,0.1,83.7,6.7,6.34,179,0,90,0.110648257,83.66096561,0.110648257,83.66096561,0.003525661,1926,1952,1983,2000,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0
3,3,29,A,No,ABBI,101,6,-,2,8,344,2.9,11.2,15,9.28,162,0,20,2.867677708,11.17419553,2.867677708,11.17419553,0.0176715,1912,1962,1987,2002,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0
3,3,28,A,No,ABBI,100,6,-,2,8,74,3.1,10.5,14.5,9.96,162,0,20,3.077809264,10.5274771,3.077809264,10.5274771,0.016513035,1913,1962,1987,2002,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0
3,3,25,A,No,ABBI,95,6,-,4,8,120,5.4,11.1,11.5,10.44,149,0,20,5.376997502,11.05117338,5.376997502,11.05117338,0.010386915,1918,1962,1987,2002,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0
3,3,24,A,No,ABBI,87,2,5,1,3,-,5.0,11.4,6.5,9.96,150,0,20,4.98,11.37438698,4.98,11.37438698,0.003318315,1926,2012,2012,2012,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0
3,3,23,A,No,ABBI,86,2,5,2,3,-,4.5,11.8,6.1,9.32,151,0,20,4.518425661,11.84854433,4.518425661,11.84854433,0.002922473,1927,2012,2012,2012,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0
3,3,22,A,No,PIEN,101,6,-,4,8,98,4.0,13.0,15,8.04,150,0,20,4.02,13.03715575,4.02,13.03715575,0.0176715,1912,1952,1983,2000,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0
3,2,22,A,No,ABBI,109,6,-,5,8,180,6.5,4.0,20,15.48,155,0,10,6.542130692,-4.029644543,6.542130692,4.029644543,0.031416,1904,1962,1987,2002,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0
3,2,21,A,No,PIEN,94,6,-,6,8,127,10.1,3.4,11.2,16.74,143,0,10,10.07438349,-3.369158438,10.07438349,3.369158438,0.009852058,1919,1952,1983,2000,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0
3,1,7,A,No,ABBI,101,6,-,5,8,85,2.5,10.2,14.9,10.54,166,0,0,2.54985678,-10.22691695,2.54985678,10.22691695,0.017436665,1912,1962,1987,2002,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0
