Plot no.,Species,DBH (2004),2004 size bin,known age,predicted age,2004 age bin, 2004 Density (ha-1),2004BA (m2),Distance from 1922 (cm),DBH (1922),1922 size bin,1922 Density (ha-1),1922 BA (m2),,,,,,
26,PIST,25.5,2,132,132,7,25,0.0510706,5.6,14.3,1,25,0.016061,,,,,,
26,QUGA,14.1,1,0,83,5,25,0.0156145,3.1,7.9,1,25,0.004902,,,,,,
26,QUGA,14.1,1,0,84,5,25,0.0156145,3.1,7.9,1,25,0.004902,,,,,,
26,QUGA,14.3,1,0,85,5,25,0.0160606,3.1,8.1,1,25,0.005153,,,,,,
26,QUGA,15,1,0,86,5,25,0.0176715,3.1,8.8,1,25,0.006082,,,,,,
26,QUGA,15.1,1,145,145,8,25,0.0179079,3.1,8.9,1,25,0.006221,,,,,,
26,QUGA,15.3,1,0,88,5,25,0.0183854,3.1,9.1,1,25,0.006504,,,,,,
26,QUGA,16.2,2,0,89,5,25,0.0206120,3.1,10.0,1,25,0.007854,,,,,,
26,QUGA,16.6,2,0,90,5,25,0.0216425,3.1,10.4,1,25,0.008495,,,,,,
26,QUGA,16.7,2,159,159,8,25,0.0219040,3.1,10.5,1,25,0.008659,,,,,,
26,QUGA,20.1,2,0,98,5,25,0.0317309,3.1,13.9,1,25,0.015175,,,,,,
27,PIPO,22.3,2,0,94,5,25,0.0390572,8.5,5.3,1,25,0.002206,,,,,,
27,PIPO,22.5,2,0,95,5,25,0.0397609,8.5,5.5,1,25,0.002376,,,,,,
27,PIST,19.1,2,0,95,5,25,0.0286522,5.6,7.9,1,25,0.004902,,,,,,
27,PIST,19.7,2,0,98,5,25,0.0304806,5.6,8.5,1,25,0.005675,,,,,,
27,PIST,20.8,2,0,103,6,25,0.0339795,5.6,9.6,1,25,0.007238,,,,,,
27,QUGA,14.8,1,0,85,5,25,0.0172034,3.1,8.6,1,25,0.005809,,,,,,
27,QUGA,16.8,2,0,90,5,25,0.0221671,3.1,10.6,1,25,0.008825,,,,,,
27,QUGA,19.3,2,0,96,5,25,0.0292554,3.1,13.1,1,25,0.013478,,,,,,
27,QUGA,19.3,2,0,99,5,25,0.0292554,3.1,13.1,1,25,0.013478,,,,,,
28,PIPO,23.1,2,0,100,5,25,0.0419097,8.5,6.1,1,25,0.002922,,,,,,
